species,scale,CNDD,HNDDad,HNDDsap,r,n,ant.plant
ACEROP,5,-3.341189031,0.012000686,0.005620729,2.635887051,233,n
ACTINI,5,-4.52678982,0.000666298,0.005122848,2.75538804,818,n
AGANHE,5,-4.545027832,-0.001515316,0.016763732,2.704416933,396,n
AGLA01,5,-4.984965193,-0.002257083,0.006343283,2.844594565,1307,n
AGLA02,5,-5.316077657,-0.030930249,-0.008270937,3.213478991,66,n
AGLAAR,5,-5.1760146,0.01399084,0.002023024,2.788889782,1226,n
AGLABN,5,-3.444631024,0.009916867,-0.003074871,2.586321104,950,n
AGLABR,5,-4.803724297,-0.012507568,0.01567649,2.785113507,1428,n
AGLABS,5,-4.799800731,-0.024957106,0.024702762,2.822701564,37,n
AGLACO,5,-6.653057466,0.020897344,-0.009264577,2.950168037,97,n
AGLACU,5,-6.295982465,0.006955725,-0.004124648,2.997297702,113,n
AGLADE,5,-4.708512801,-0.003600232,-0.025720887,3.087387647,28,n
AGLALE,5,-4.704151548,0.01034821,0.010844984,2.666466298,2696,n
AGLARI,5,-4.388116299,0.009182944,0.00877734,2.73418993,3472,n
AGLASA,5,-3.362469836,0.032286198,0.012256912,2.250859095,155,n
AGLATO,5,-5.876250356,8.30E-05,0.008650779,2.857294928,1122,n
AILAIN,5,-5.125386287,-0.010700915,0.00501412,2.852063107,295,n
ALANVI,5,-5.60365582,0.00594091,0.005027437,2.836417031,1000,n
ALLOCO,5,-5.927857375,0.00356825,0.002387006,2.935577222,407,n
ALSEAR,5,-6.943353796,-0.014912742,0.002731589,3.046500361,99,n
ALSTSC,5,-6.331770169,-0.038040128,0.0063894,3.279494821,387,n
ANTHCH,5,-4.781827988,-0.003606501,0.016797075,2.715291494,20,n
ANTIOL,5,-5.405841231,-0.000978634,0.00601027,2.867389626,175,n
APHA01,5,-5.168989994,0.020848276,0.000833232,2.801754037,95,n
APHAPO,5,-2.801591729,0.001165894,0.017637669,2.217527058,5502,n
APORPA,5,-4.531698648,-0.003597405,0.011818686,2.727041993,535,n
ARCHGL,5,-5.086276523,-0.000980193,-0.002278904,2.845405954,44,n
ARCHLU,5,-5.232066159,0.002373171,-0.002601763,2.912528794,988,n
ARCHPT,5,-6.460899086,0.008171586,0.003185002,2.941315599,125,n
ARDIIM,5,-4.454613118,0.013735417,0.000480537,2.744535911,1256,n
ARDILA,5,-4.734786782,0.004208963,-0.001437737,2.822898027,234,n
ARTOCA,5,-6.202498609,-0.010398094,0.004172553,2.968045931,116,n
ARTOCO,5,-5.327769997,-0.006258041,-0.011711368,3.078229518,54,n
ARTOLA,5,-5.177850024,-0.012678081,-0.002683584,2.958038754,428,n
ARTOSE,5,-4.217400188,-0.020684961,-0.007894197,3.012415771,330,n
ARYTLI,5,-3.725051907,0.013704568,-0.014149724,2.752336491,34,n
ASTRAC,5,-3.914947944,0.022333339,0.000309128,3.042702489,52,n
BAMB01,5,-4.76485197,-0.067615553,0.034305719,2.866259763,66,n
BAMBFO,5,-3.334677528,-0.029166397,-0.025461459,2.905071225,591,n
BARRAP,5,-5.593238205,-0.002819383,0.001479475,2.94160031,1002,n
BARRCA,5,-4.878129285,0.029055267,0.082540226,1.458066393,15,n
BARRNO,5,-3.894627555,-0.007214293,-0.00136084,2.86316582,275,n
BREYCE,5,-5.935480363,0.024083623,-0.003653973,2.832985709,71,n
BRIDMA,5,-4.80307648,-0.002025599,0.022741129,2.688368142,244,n
CALLFA,5,-2.852460776,-0.005934922,0.023794683,2.387821578,47,n
CALLPE,5,-4.804979543,0.034579612,0.026979825,2.479123377,59,n
CALLPR,5,-3.121093315,-0.004168724,0.001124041,2.80794429,133,n
CALOSO,5,-4.005838299,0.007498697,0.024626388,2.440994347,2558,n
CANAAC,5,-4.285582412,0.000659468,0.011793392,2.71633784,2873,n
CANAIN,5,-5.842917265,-0.006057117,0.003615231,2.930640857,759,n
CANAMA,5,-6.656913383,-0.003598319,0.005285171,2.980149142,247,n
CANAOL,5,-5.347267975,-0.005044066,0.005301997,2.850851267,267,n
CANAPO,5,-5.614265015,-0.039321842,0.106339674,2.029427997,18,n
CARABR,5,-3.767072348,0.04353535,-0.009484183,2.658666206,214,n
CASECL,5,-3.903727823,-0.055951428,0.032608547,2.738876571,159,n
CELTLA,5,-3.345866044,0.029939319,0.019016785,2.365655556,8442,n
CELTNY,5,-6.103857791,0.00617908,0.003559316,2.871217739,206,n
CELTPH,5,-5.791970403,-0.003952416,0.000818212,2.94495484,801,n
CERBFL,5,-5.662623525,0.010932523,-0.006344107,2.914653089,446,n
CHIOBR,5,-4.304029839,0.008042455,-0.000940535,2.803550038,876,n
CHIORA,5,-4.751462771,0.007943648,0.005232617,2.7956531,998,n
CHIOTR,5,-5.311515736,-0.020202614,0.012675299,2.868341051,124,n
CHISCE,5,-4.151184506,-0.002272384,0.004660982,2.85566231,3136,w
CHISCU,5,-4.16846405,-0.002958879,0.00389573,2.86012453,2754,n
CHISLA,5,-3.904585148,-0.000197128,0.002581979,2.843940194,3526,s
CHISLO,5,-5.083419007,-0.01662986,0.009676752,2.880834664,304,n
CHRYRO,5,-6.28455284,-0.003208914,0.00621644,2.987750884,57,n
CITRSU,5,-4.750124852,-0.010611745,-0.019210297,3.027708508,22,n
CLAOPO,5,-5.980693385,-0.008344098,0.014270664,2.874840245,265,n
CLERIN,5,-5.122980468,0.009362551,-0.010486269,3.036347349,64,n
CLERTR,5,-3.582457959,-0.028400846,0.015472509,2.916740037,108,n
COMMBA,5,-3.665307979,0.049392009,0.001050775,2.364878512,21,n
CORDTE,5,-1.809424156,-0.000713801,-0.016271194,2.751025956,522,n
CRYP01,5,-3.661111249,0.002320235,0.022652947,2.46168729,48,n
